Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Avenue Supermarts",22663,General,,"1,420.80"," -6.35 "," -0.44% ","297,936",103.39,18.27,"88,966.36","15,972.47",860.50,5.37,18.56,-8.50,-3.60,38.69,-,-,-
"Axis Bank",5745,Bank/Finance,YES,617.65," 3.30 "," 0.54% ","8,721,727",-,2.45,"157,512.45","47,504.84","19,168.39",3.67,0.07,-3.99,19.24,22.45,6.12,24.31,15.58
"Bajaj Auto",18752,Auto,,"2,773.35"," -15.35 "," -0.55% ","494,798",18.05,3.72,"79,847.94","27,128.36","4,161.55",14.69,20.54,3.97,-0.45,-8.39,6.88,6.81,24.99
"Bajaj Corp",20914,"Consumer Goods",YES,435.60," -8.60 "," -1.94% ","62,197",30.32,11.66,"6,520.98",855.19,215.06,24.73,42.79,6.26,10.93,11.68,-1.26,11.31,-
"Bajaj Electricals",418,"Consumer Goods",Explore,491.00," -12.05 "," -2.40% ","468,936",49.01,5.21,"5,080.04","4,826.91",103.65,2.12,10.60,-10.42,-5.99,41.05,26.54,25.15,20.11
"Bajaj Finance",416,Bank/Finance,YES,"2,300.00"," 0.80 "," 0.03% ","2,727,926",46.51,7.71,"133,863.26","13,952.97","2,878.39",20.56,20.46,-21.17,-3.82,28.02,67.62,80.72,69.56
"Bajaj Finserv",18751,Bank/Finance,YES,"6,212.55"," 26.90 "," 0.43% ","164,487",33.97,4.40,"98,932.70","32,825.45","4,652.54",14.17,23.27,-12.27,0.32,21.04,52.36,58.85,31.84
"Bajaj Hindusthan",420,"Consumer Goods",,9.50," -0.70 "," -6.86% ","21,331,760",-,0.33,"1,113.16","5,647.68",-565.62,-9.66,-15.60,47.91,44.37,-25.29,-7.79,-3.05,-20.85
"Bajaj Holdings  and  Inv",417,Bank/Finance,YES,"3,033.00"," -47.80 "," -1.55% ","35,026",10.45,1.59,"34,066.94",910.75,744.73,81.32,4.07,3.95,-1.58,13.77,24.93,31.75,20.62
"Bal Pharma",427,Pharma,,90.60," 1.30 "," 1.46% ","49,835",17.86,1.73,128.83,217.16,7.21,3.30,0.59,3.39,13.15,-4.46,8.32,41.92,13.51
"Balaji Amines",430,Chemicals,YES,506.95," 7.35 "," 1.47% ","13,464",13.13,3.26,"1,631.23",937.12,124.25,13.20,27.29,-7.89,-14.67,47.28,57.59,72.40,37.17
"Balaji Telefilms",6598,General,,100.10," 4.85 "," 5.09% ","115,123",-,1.27,"1,048.41",392.12,-49.94,-12.09,-6.81,-16.52,-21.12,-38.39,0.82,24.40,-3.95
"Balkrishna Industries",438,Auto,YES,"1,101.00"," 7.00 "," 0.64% ","318,010",25.88,4.89,"21,130.54","4,814.91",816.35,15.88,19.30,-18.03,-0.02,31.39,48.59,55.75,39.96
"Balmer Lawrie  and  Co.",440,Services,YES,190.75," -5.60 "," -2.85% ","89,517",11.47,1.72,"2,223.62","1,749.71",193.81,10.64,11.70,-11.19,-7.58,-11.51,11.38,20.41,14.39
"Balrampur Chini Mills",443,General,YES,78.10," -4.15 "," -5.05% ","40,079,012",10.30,1.08,"1,800.09","4,266.81",174.70,4.07,13.93,9.96,25.67,-50.78,19.71,13.95,-0.20
"Banco Products (I)",449,Auto,YES,202.40," 0.70 "," 0.35% ","32,988",11.59,1.73,"1,451.83","1,469.19",125.26,8.44,15.30,-11.70,-6.51,-4.64,20.06,41.99,20.51
"Bandhan Bank",23218,Bank/Finance,YES,552.60," -14.45 "," -2.55% ","625,391",48.77,6.65,"65,616.20",-,-,10.30,3.61,-15.94,6.09,-,-,-,-
"Bank of Baroda",451,Bank/Finance,,108.85," -0.60 "," -0.55% ","25,691,013",-,0.66,"28,928.72","44,735.71","16,497.90",2.65,-0.26,-25.75,-6.29,-23.25,-16.23,1.43,6.03
"Bank of India",452,Bank/Finance,,83.85," -0.40 "," -0.47% ","8,849,517",-,0.49,"14,667.16","38,588.63","11,327.62",2.49,-0.97,-9.51,-8.52,-41.13,-14.55,-12.43,-11.39
"BASF India",384,Chemicals,Explore,"1,775.00"," -16.05 "," -0.90% ","3,412",28.51,5.64,"7,705.06","5,704.55",270.27,4.72,20.18,-9.48,-7.61,24.60,18.47,28.32,21.18
"Bata India",467,General,Explore,956.50," -4.35 "," -0.45% ","603,045",49.98,7.87,"12,279.52","2,690.50",245.70,8.96,15.76,-10.59,16.58,35.46,19.55,18.57,29.84
"Bayer CropScience",471,Chemicals,,"4,372.25"," 11.70 "," 0.27% ","6,559",44.45,7.75,"14,918.63","2,843.70",335.60,11.66,15.65,4.56,-7.60,8.42,4.79,22.77,31.34
"Beekay Steel",22825,Mines/Mineral,,347.00," 14.30 "," 4.30% ",637,7.37,1.98,649.50,"1,042.25",88.17,8.35,16.68,-4.98,16.74,55.10,-,-,-
BEML,515,Engineering,,661.20," 14.75 "," 2.28% ","1,052,426",50.70,1.35,"2,749.79","3,128.44",54.24,1.72,5.92,-20.51,-25.77,-61.38,-19.95,34.85,-1.05
"Berger Paints India",488,Chemicals,Explore,295.65," -2.85 "," -0.95% ","925,480",59.45,12.34,"28,703.80","5,401.62",484.48,8.89,22.49,-11.20,6.40,20.83,22.87,29.08,36.36
"BF Utilities",6711,Utilities,YES,260.10," -2.85 "," -1.08% ","287,442",40.30,9.07,986.70,16.49,24.48,56.25,0.00,-17.88,-20.12,-35.03,-18.47,13.35,-15.89
"BGR Energy Systems",18059,Utilities,,62.25," 0.55 "," 0.89% ","35,540",124.28,0.32,447.40,"3,052.45",3.60,0.12,0.09,-23.73,-37.93,-54.52,-16.41,-10.11,-13.59
