Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Birla Corporation",564,Cement,YES,689.80," -47.40 "," -6.43% ","65,586",27.29,1.50,"5,309.90","5,931.12",194.60,3.24,4.56,-10.37,-1.82,-27.31,14.96,26.66,17.54
"Bliss GVS Pharma",573,Pharma,,177.25," -11.50 "," -6.09% ","246,235",24.25,3.20,"1,840.65",794.91,90.74,10.91,17.34,-7.51,-2.81,9.92,-1.65,36.28,21.25
"Blue Dart Express",582,Services,,"3,081.65"," -21.35 "," -0.69% ","3,560",51.12,11.37,"7,314.49","2,856.97",143.09,4.97,30.11,-14.01,-15.21,-28.40,-24.17,4.94,16.87
"Blue Star",583,"Consumer Goods",,650.55," -4.70 "," -0.72% ","74,202",33.90,6.68,"6,181.96","4,800.72",187.63,3.90,19.07,-4.96,-0.44,-17.29,24.37,34.39,6.76
"Bodal Chemicals",963,Chemicals,YES,115.10," 2.95 "," 2.63% ","431,067",10.34,1.89,"1,403.95","1,201.99",135.78,11.21,23.52,-6.05,-15.01,-34.38,54.95,64.75,26.53
"Bombay Burmah",587,"Consumer Goods",Explore,"1,515.15"," -145.95 "," -8.79% ","538,187",-,37.14,"10,579.51",216.74,-30.17,-12.11,23.36,-9.47,2.44,19.91,48.26,73.29,35.32
"Bombay Dyeing  and  Mfg. Co.",590,Manufacturing,,216.60," -11.35 "," -4.98% ","205,766",-,8.26,"4,484.91","2,467.35",-26.62,-1.06,7.09,-16.64,-1.57,1.74,50.01,33.68,8.40
"Bombay Rayon Fashions",16384,Manufacturing,,18.05," -0.90 "," -4.75% ","62,610",-,0.15,587.33,"2,394.85",-615.99,-25.55,-6.98,0.56,-23.03,-85.97,-47.22,-39.28,-25.63
"Borosil Glass Works",601,General,Explore,291.10," -5.95 "," -2.00% ","150,072",51.54,3.20,"2,686.53",317.98,52.12,14.60,6.04,-1.59,23.95,31.76,70.72,77.93,38.62
Bosch,2522,Auto,,"19,998.40"," -624.40 "," -3.03% ","33,697",40.82,5.88,"61,190.27","12,253.95","1,499.11",11.75,14.61,5.86,11.19,-7.23,-2.53,18.17,17.68
BPCL,525,"Oil and Gas",,376.50," 11.45 "," 3.14% ","8,147,865",8.59,2.22,"81,368.67","292,820.36","9,468.04",3.20,25.22,2.10,-10.77,-24.12,9.03,27.26,20.63
"Brigade Enterprises",18074,"Real Estate",YES,198.70," -2.75 "," -1.37% ","33,159",15.67,1.14,"2,676.25","2,041.27",164.58,7.88,6.63,1.74,-12.49,-22.88,13.46,29.87,5.88
"Britannia Inds.",611,"Consumer Goods",Explore,"5,790.75"," -169.15 "," -2.84% ","370,746",66.37,19.01,"69,458.60","10,194.12","1,046.29",10.09,33.00,-15.56,-2.88,33.79,24.55,50.03,35.54
BSE,23649,General,YES,717.40," -18.75 "," -2.55% ","574,166",15.54,1.11,"3,715.34",490.01,213.60,30.35,22.40,-3.50,-16.08,-29.31,-,-,-
"Cadila Healthcare",6179,Pharma,YES,394.00," -13.50 "," -3.31% ","3,953,672",19.28,4.40,"40,437.83","12,637.50","2,071.70",16.27,22.26,1.69,-4.44,-21.90,-0.32,23.50,24.01
"Camlin Fine Sciences",17152,Chemicals,,57.75," -3.30 "," -5.41% ","774,886",-,1.92,701.31,764.01,-17.26,-2.20,-8.32,-27.60,-33.54,-28.62,-15.68,46.77,32.42
"Can Fin Homes",646,Bank/Finance,YES,292.55," -16.30 "," -5.28% ","2,113,853",12.55,2.71,"3,864.80","1,581.06",307.84,19.42,24.91,-13.85,-15.62,-47.69,20.94,65.09,37.33
"Canara Bank",6218,Bank/Finance,,239.35," -6.85 "," -2.78% ","8,629,206",-,0.60,"17,568.54","42,416.05","13,332.99",2.75,-0.67,-15.83,-6.17,-29.61,-4.68,0.96,0.83
"Capacite Infraprojects",23878,"Real Estate",,247.30," -0.05 "," -0.02% ","148,562",19.52,2.16,"1,666.74","1,467.09",85.38,5.71,15.08,-8.25,-14.37,-,-,-,-
"Capital First",18169,Bank/Finance,YES,549.15," -37.15 "," -6.34% ","1,539,906",15.25,2.29,"5,519.21","4,007.20",362.01,8.97,14.57,-12.88,-2.78,-32.81,15.18,26.87,5.08
"Caplin Point Laboratories",653,Pharma,YES,462.35," -16.15 "," -3.38% ","43,205",24.05,8.83,"3,508.00",562.79,145.70,25.42,56.14,15.05,5.60,-34.49,15.20,107.72,73.02
"Carborundum Universal",659,Mines/Mineral,Explore,382.85," 6.75 "," 1.79% ","213,909",30.23,4.45,"7,202.73","2,482.57",225.62,9.01,13.95,3.58,17.49,10.89,32.29,30.00,20.20
"CARE Ratings Limited",5806,Services,YES,"1,237.35"," -14.00 "," -1.12% ","61,144",24.05,5.90,"3,633.75",317.65,151.09,44.35,29.30,-4.75,-6.51,-15.93,3.42,16.42,-
"Castrol India",665,"Oil and Gas",,153.90," -0.30 "," -0.19% ","1,241,411",21.03,14.19,"15,158.30","3,776.00",720.90,18.65,69.12,-4.37,-9.85,-19.46,-11.10,-0.97,13.80
"CCL Products (I)",797,"Consumer Goods",,258.05," -9.00 "," -3.37% ","44,132",21.46,4.42,"3,445.42","1,185.69",160.56,13.51,21.65,-2.11,-4.79,-15.47,6.93,56.96,32.71
Ceat,670,Auto,,"1,279.85"," -60.05 "," -4.48% ","569,628",16.77,1.94,"5,171.95","6,477.37",279.17,4.29,8.38,-9.61,-2.67,-26.60,0.47,62.25,34.57
"Central Bank of India",6216,Bank/Finance,,53.20," -13.25 "," -19.94% ","4,190,143",-,1.05,"13,967.86","23,516.47","6,863.95",2.61,-1.54,-22.84,-23.34,-37.96,-13.01,-1.42,1.57
"Central Depository Services",23780,Services,YES,258.40," -2.30 "," -0.88% ","725,132",27.07,4.35,"2,700.28",195.42,100.20,44.44,18.31,-3.62,-9.87,-32.58,-,-,-
"Centum Electronics",6190,Engineering,,441.35," 21.30 "," 5.07% ","7,670",-,3.29,578.10,340.32,-11.43,-3.25,-5.47,22.19,3.68,-29.79,-12.98,40.07,20.81
"Century Plyboards (India)",15920,General,,197.70," -1.80 "," -0.90% ","262,244",26.00,4.94,"4,364.59","2,065.87",167.89,8.10,21.21,-13.21,-27.88,-21.06,6.84,46.65,14.42
"Century Textiles  and  Inds.",689,Manufacturing,YES,883.75," -14.35 "," -1.60% ","737,618",21.33,3.37,"9,878.37","8,295.24",414.08,5.53,14.21,-5.49,-1.60,-30.75,17.61,28.91,8.42
