Name,Code,Industry,PriceView,CAGRView,FinalView,Investment
"Cera Sanitaryware",7375,General,Explore,,,
"Chambal Fertilisers and Chem.",700,Chemicals,YES,Explore,Explore,
"Chennai Petro",2289,"Oil and Gas",YES,,Explore,
"Cholamandalam Invest. and Fin.",740,Bank/Finance,YES,YES,YES,YES
Cipla,748,Pharma,,YES,Explore,YES
"Claris Lifesciences",21086,Pharma,YES,,Explore,
"Coal India",4673,Mines/Mineral,,Explore,,YES
"Coffee Day Enterprises",22579,Services,,YES,Explore,
"Colgate-Palmolive (I)",776,"Consumer Goods",,,,
"Container Corp.",794,Services,,Explore,,
"Coromandel International",811,Chemicals,YES,,Explore,
"Cox and Kings",17184,Services,,Explore,,
"Credit Analysis and Research",5806,Services,YES,,Explore,
"Cummins India",841,Engineering,,,,
Cyient,5968,IT,,YES,Explore,
"DCB Bank",7306,Bank/Finance,YES,YES,YES,
"DCM Shriram",855,General,YES,,Explore,
DLF,16884,"Real Estate",,Explore,,
"Dabur India",870,"Consumer Goods",Explore,,,YES
"Dalmia Bharat",21112,Cement,,YES,Explore,
"Deepak Fertilisers and Petro.",899,Chemicals,YES,YES,YES,
"Delta Corp",275,Services,Explore,Explore,Explore,
"Dewan Housing Fin. Corpn.",923,Bank/Finance,YES,YES,YES,YES
"Dhanuka Agritech",934,Chemicals,Explore,,,
"Dilip Buildcon",23477,Engineering,,YES,Explore,
"Dish TV India",17182,Services,,YES,Explore,
"Dishman Pharma and Chem",15804,Pharma,,,,YES
"Divi's Laboratories",7301,Pharma,YES,YES,YES,YES
"Dr. Lal Pathlabs",23201,Services,,YES,Explore,
"Dr. Reddy's Lab",981,Pharma,,,,YES
"Dredging Corp. of India",985,Services,,,,
"EID-Parry (I)",1005,General,,,,
"EPC Inds.",1011,Chemicals,,,,
"Edelweiss Financial Services",17472,Bank/Finance,YES,YES,YES,
"Elgi Equipments",1081,Engineering,,,,
Emami,1053,"Consumer Goods",Explore,,,
"Emkay Global Financial",1539,Bank/Finance,YES,Explore,Explore,
"Endurance Technologies",16605,Auto,YES,,Explore,
"Engineers India",23561,Engineering,,,,YES
"Equitas Holdings",20604,Bank/Finance,YES,YES,YES,YES
"Eros International Media",21007,General,YES,YES,YES,
Escorts,1095,Auto,YES,,Explore,
"Eveready Industries (I)",1120,General,Explore,,,
"Exide Inds.",1126,Auto,,Explore,,YES
FDC,1130,Pharma,YES,,Explore,YES
"Federal Bank",1140,Bank/Finance,YES,Explore,Explore,
"Federal Mogul Goetze",1316,Auto,Explore,,,
"Finolex Cables",1158,General,YES,,Explore,
"Finolex Inds.",1159,Chemicals,YES,,Explore,
"Fortis Healthcare (India)",17265,Services,,Explore,,
"Future Retail",23379,General,,YES,Explore,
GAIL,1263,"Oil and Gas",,,,
"GE T and D (I)",6285,General,,Explore,,
GHCL,1395,Chemicals,YES,,Explore,
GNFC,1412,Chemicals,YES,,Explore,
GSFC,1429,Chemicals,YES,YES,YES,
"Gabriel India",1230,Auto,YES,,Explore,
Gati,6660,Services,,,,
"Gayatri Projects",6741,"Real Estate",YES,,Explore,
Gillette,1708,"Consumer Goods",Explore,YES,YES,
"Glenmark Pharma.",6194,Pharma,,YES,Explore,YES
"Godfrey Phillips India",1313,"Consumer Goods",,,,
"Godrej Consumer Products",6734,"Consumer Goods",Explore,Explore,Explore,
"Godrej Industries",1315,General,Explore,,,
"Godrej Properties",5917,"Real Estate",,Explore,,YES
"Goodyear India",1337,Auto,YES,,Explore,
"Granules India",7381,Pharma,YES,YES,YES,
"Graphite India",1352,Engineering,YES,,Explore,
"Grasim Industries",1353,Cement,YES,YES,YES,
"Grauer and Weil (I)",1355,Chemicals,YES,,Explore,
"Great Eastern Shipping Co.",1357,Services,YES,,Explore,
"Greaves Cotton",1359,Engineering,YES,,Explore,
"Greenply Inds.",1363,General,YES,,Explore,YES
"Grindwell Norton",1368,Engineering,Explore,,,
"Gruh Finance",1372,Bank/Finance,YES,,Explore,
"Gujarat Fluorochemicals",16522,Chemicals,YES,,Explore,
"Gujarat Gas",1393,"Oil and Gas",,YES,Explore,
"Gujarat Industries Power",22210,Utilities,,,,
"Gujarat Pipavav Port",1399,Services,YES,,Explore,
"Gujarat State Petronet",6211,"Oil and Gas",YES,,Explore,YES
"HCL Infosystems",1457,IT,,,,
"HCL Technologies",6105,IT,YES,,Explore,YES
HDFC,1611,Bank/Finance,YES,YES,YES,YES
"HDFC Bank",1459,Bank/Finance,YES,YES,YES,YES
HDIL,17466,"Real Estate",YES,YES,YES,
HSIL,1581,"Real Estate",YES,,Explore,
"Havells India",1505,Engineering,Explore,,,
"Heidelberg Cement India",2554,Cement,YES,YES,YES,
"Heritage Foods",1516,"Consumer Goods",Explore,YES,YES,
"Hero Motocorp",1518,Auto,Explore,,,YES
"Hexaware Technologies",250,IT,YES,YES,YES,
"Himatsingka Seide",1540,Manufacturing,YES,,Explore,
"Hindalco Inds.",1549,Mines/Mineral,,,,
"Hindustan Media Ventures",20900,General,YES,YES,YES,
"Hindustan Petroleum Corpn.",1578,"Oil and Gas",YES,,Explore,
"Hindustan Unilever",1572,"Consumer Goods",Explore,,,
"Hindustan Zinc",1585,Mines/Mineral,YES,YES,YES,YES
"Honeywell Automation India",4039,Engineering,Explore,YES,YES,
"Housing & Urban Development Corpn.",6452,"Real Estate",,,,
"ICICI Bank",1622,Bank/Finance,,YES,Explore,YES
"ICICI Prudential Life Insurance Co. Ltd.",23527,Bank/Finance,YES,YES,YES,YES
ICRA,5851,Services,YES,,Explore,
"IDFC Bank",23138,Bank/Finance,,,,
"IIFL Holdings",6324,Bank/Finance,YES,YES,YES,
"INOX Leisure",16526,Services,,YES,Explore,
"IRB Infrastructure Dev",18358,Engineering,,YES,Explore,
ITC,1642,"Consumer Goods",YES,Explore,Explore,YES
"ITD Cementation India",5958,Cement,Explore,YES,YES,
"India Cements",1668,Cement,YES,,Explore,
"Indiabulls Housing Finance",20721,Bank/Finance,YES,YES,YES,YES
"Indiabulls Real Estate",17108,"Real Estate",YES,YES,YES,
"Indiabulls Ventures",18170,Bank/Finance,YES,YES,YES,
"Indian Oil Corp.",1699,"Oil and Gas",YES,,Explore,YES
"Indo Count Inds.",1721,Manufacturing,YES,YES,YES,
"Indraprastha Gas",15728,"Oil and Gas",YES,,Explore,
"Indusind Bank",1751,Bank/Finance,YES,Explore,Explore,YES
"Infibeam Incorporation",23319,Services,,YES,Explore,
"Info Edge (India)",17003,General,YES,Explore,Explore,
Infosys,1764,IT,YES,YES,YES,YES
"Inox Wind",22767,Engineering,,YES,Explore,
"Interglobe Aviation",23164,Services,,,,
"Ipca Laboratories",1807,Pharma,,,,
"J Kumar infra",18186,"Real Estate",YES,,Explore,
"JB Chemicals and Pharma",1820,Pharma,YES,YES,YES,
"JBF Industries",1821,Manufacturing,,,,
"JBM Auto",6907,Auto,YES,Explore,Explore,
"JK Cement",16006,Cement,Explore,,,
"JK Tyre and Industries",1834,Auto,YES,,Explore,
"JM Financial",1843,Bank/Finance,YES,YES,YES,
"JSW Energy",20597,Utilities,,,,
"JSW Steel",1922,Mines/Mineral,YES,Explore,Explore,YES
"Jagran Prakashan",15765,General,YES,YES,YES,
"Jain Irrigation Systems",1860,Chemicals,,,,
"Jet Airways India",6708,Services,,,,
"Jindal Steel and Power",6170,Mines/Mineral,,,,
"Johnson Controls - Hitachi Air Conditioning India",196,"Consumer Goods",Explore,YES,YES,
"Jubilant FoodWorks",20629,Services,,YES,Explore,
"Jubilant Life Sciences",4293,Pharma,YES,,Explore,
"Just Dial",22074,IT,,YES,Explore,
"Jyothy Laboratories",18071,"Consumer Goods",Explore,Explore,Explore,
"KEC International",16548,Engineering,YES,,Explore,YES
"KNR Construction",18249,"Real Estate",YES,,Explore,
"KPIT Technologies",5971,IT,,,,YES
"KPR Mills",17606,Manufacturing,YES,Explore,Explore,
KRBL,2075,"Consumer Goods",YES,Explore,Explore,
"Kajaria Ceramics",1971,General,Explore,Explore,Explore,
"Kalpataru Power Trans",1979,Utilities,YES,,Explore,
"Kalyani steels",1986,Mines/Mineral,YES,YES,YES,
"Kama Holdings",6894,Chemicals,YES,Explore,Explore,
"Kansai Nerolac Paints",1335,Chemicals,Explore,Explore,Explore,
"Karnataka Bank",4962,Bank/Finance,,Explore,,
"Karur Vysya Bank",4967,Bank/Finance,YES,,Explore,
"Kaveri Seed Company",17700,"Consumer Goods",,,,
"Kei Industries",2046,Engineering,YES,YES,YES,
"Kewal Kiran Clothing",16600,Manufacturing,,,,
"Kirloskar Oil Engines",21091,Engineering,YES,,Explore,YES
"Kirloskar Pneumatic Co.",2099,Engineering,YES,,Explore,
"Kitex Garments",2102,Manufacturing,YES,,Explore,
"Kohinoor Foods",3481,"Consumer Goods",,,,
"Kolte Patil Developers",18063,"Real Estate",,,,
"Kotak Mahindra Bank",2118,Bank/Finance,YES,YES,YES,YES
"Kwality Ltd.",2157,"Consumer Goods",YES,YES,YES,
"L and T Finance Holdings",21427,Bank/Finance,YES,YES,YES,YES
"L and T Infotech",23456,IT,,YES,Explore,
"LG Balakrishnan and Bros.",2159,Engineering,YES,,Explore,
"LIC Housing Fin.",2160,Bank/Finance,YES,YES,YES,YES
"LT Foods",17056,"Consumer Goods",YES,Explore,Explore,
"Lakshmi Machine Works",2182,Engineering,,,,YES
"Larsen and Toubro",2192,Engineering,,Explore,,YES
"Laurus Labs",23623,Pharma,,YES,Explore,
"Liberty Shoes",2211,General,,,,
"Lumax auto tech",17083,Auto,YES,YES,YES,
Lupin,2240,Pharma,,YES,Explore,YES
"Lux Industries",23211,Manufacturing,,Explore,,
"M and M Financial Services",5039,Bank/Finance,YES,Explore,Explore,
MRF,2261,Auto,YES,,Explore,
"Magma Fincorp",6456,Bank/Finance,YES,,Explore,
"Mahanagar Gas",23409,"Oil and Gas",YES,Explore,Explore,YES
"Mahindra Holidays and Resorts India",20333,Services,,YES,Explore,
"Mahindra and Mahindra",2321,Auto,,,,YES
"Manappuram Finance",7106,Bank/Finance,YES,YES,YES,
"Manpasand Beverages",22975,"Consumer Goods",,YES,Explore,
Marico,2370,"Consumer Goods",Explore,,,
"Marksans Pharma",3996,Pharma,,YES,Explore,
"Maruti Suzuki India",6442,Auto,Explore,YES,YES,YES
"Max Financial Services",2390,Bank/Finance,YES,,Explore,YES
Mercator,2426,Services,,,,
Merck,6867,Pharma,YES,,Explore,
MindTree,17165,IT,,YES,Explore,YES
"Minda Industries",15853,Auto,Explore,YES,YES,
"Mirza International",2466,"Consumer Goods",YES,YES,YES,
"Monsanto India",2506,Chemicals,YES,Explore,Explore,
"Motherson Sumi Systems",2519,Auto,Explore,YES,YES,
"Motilal Oswal Financial",17686,Bank/Finance,YES,YES,YES,
Mphasis,6481,IT,,,,
"Muthoot Finance",16822,Bank/Finance,YES,,Explore,YES
"NBCC Ltd.",21650,Engineering,,YES,Explore,YES
NCC,2583,"Real Estate",YES,,Explore,
"NCL Industries",2561,Cement,YES,YES,YES,
NHPC,5107,Utilities,YES,,Explore,
"NIIT Technologies",15854,IT,,Explore,,
NOCIL,2622,Chemicals,YES,,Explore,
"NRB Bearings",2576,Engineering,,,,
NTPC,5109,Utilities,,,,YES
"Nandan Denim",16002,Manufacturing,YES,YES,YES,YES
"Narayana Hrudayalaya",23212,Services,,YES,Explore,
"Natco Pharma",2613,Pharma,YES,YES,YES,YES
"National Aluminium Co.",2617,Mines/Mineral,,,,
"Nava Bharat Ventures",2636,General,,,,
"Navin Fluorine International",15717,Chemicals,YES,YES,YES,
"Navkar Corporation",23111,Services,YES,,Explore,
"Nestle India",2654,"Consumer Goods",,,,
Nilkamal,2676,Manufacturing,YES,,Explore,
"OCL India",2718,Cement,YES,YES,YES,
ONGC,2730,"Oil and Gas",YES,,Explore,
"Oberoi Realty",21033,"Real Estate",YES,YES,YES,YES
Omaxe,16821,"Real Estate",YES,,Explore,
"Oracle Fin Ser Software",6608,IT,YES,,Explore,
"P and G Hygiene and Health Care",3042,"Consumer Goods",Explore,Explore,Explore,
"PC Jeweller",21888,General,,YES,Explore,
"PI Industries",2806,Chemicals,Explore,YES,YES,
"PNB Housing Finance",15760,Bank/Finance,YES,Explore,Explore,
"PNC Infratech",22918,General,,YES,Explore,
"PTC India",15771,Services,,,,YES
PVR,16471,General,Explore,YES,YES,YES
"Page Industries",17174,Manufacturing,Explore,YES,YES,
"Persistent Systems",20707,IT,,YES,Explore,
"Petronet LNG",15766,"Oil and Gas",YES,,Explore,YES
Pfizer,2916,Pharma,,Explore,,
"Phoenix Mills",2928,"Real Estate",,YES,Explore,
"Pidilite Industries",2933,Chemicals,Explore,Explore,Explore,YES
"Piramal Enterprises",2667,Pharma,YES,YES,YES,YES
"Poly Medicure",2963,Chemicals,Explore,YES,YES,
"Power Grid Corp.",5191,Utilities,YES,YES,YES,
"Prabhat Dairy",23127,"Consumer Goods",,YES,Explore,
"Praj Industries",2982,Engineering,,,,
"Prestige Estates Projects",21040,"Real Estate",,YES,Explore,YES
"RBL Bank",21457,Bank/Finance,,,,YES
"Rajesh Exports",3159,General,YES,YES,YES,
"Rallis India",3177,Chemicals,,,,
"Ramkrishna Forgings",15811,Engineering,,YES,Explore,
"Rane Holdings",3197,Auto,YES,YES,YES,
"Ratnamani Metals and Tubes",3220,Mines/Mineral,YES,,Explore,
"Redington India",15683,IT,YES,YES,YES,
"Relaxo Footwears",3247,General,Explore,YES,YES,
"Reliance Capital",3249,Bank/Finance,YES,YES,YES,
"Reliance Defence and Engineering",17433,Engineering,,Explore,,
"Reliance Industries",3252,"Oil and Gas",YES,,Explore,YES
"Religare Enterprises",17944,Bank/Finance,,,,
"Repco Home Finance Ltd.",21999,Bank/Finance,YES,Explore,Explore,YES
SJVN,20785,Utilities,YES,YES,YES,
"SKF India",3349,Engineering,,,,
"SML Isuzu",3973,Auto,YES,,Explore,
"SREI Infrastructure Finance",3366,Bank/Finance,YES,YES,YES,
SRF,3367,Manufacturing,YES,,Explore,
"Sadbhav Engineering",16530,Engineering,YES,YES,YES,
"Sanofi India",6796,Chemicals,,Explore,,
"Sasken Technologies",16034,IT,YES,,Explore,YES
"Savita Oil Technologies",3488,Chemicals,YES,,Explore,
"Schaeffler India",1128,Auto,Explore,,,
"Shakti Pumps (India)",3531,Engineering,YES,Explore,Explore,
"Shalimar Paints",3532,Chemicals,,,,
"Sharda Cropchem",22558,Chemicals,,YES,Explore,
"Sharda Motor Industries",22065,Engineering,,YES,Explore,
"Shipping Corp. of India",3571,Services,YES,,Explore,
"Shree Cement",3589,Cement,Explore,YES,YES,
"Shriram City Union Finance",5372,Bank/Finance,YES,YES,YES,
"Shriram Transport Finance",3640,Bank/Finance,YES,Explore,Explore,
"Sical Logistics",3733,Services,YES,,Explore,
Siemens,3656,Engineering,YES,,Explore,
Sobha,16913,"Real Estate",,,,
"Solar Industries",16554,Engineering,Explore,,,
"Somany Ceramics",3364,Chemicals,Explore,Explore,Explore,
"Sonata Software",5951,IT,YES,YES,YES,YES
Spicejet,6850,Services,YES,,Explore,
Sreeleathers,22062,"Consumer Goods",,YES,Explore,
"State Bank of India",3820,Bank/Finance,,Explore,,YES
"Strides Shasun",6185,Pharma,,YES,Explore,
"Sun Pharmaceutical Inds.",3887,Pharma,YES,YES,YES,YES
"Sun TV Network",16602,General,YES,,Explore,
"Sundaram Finance",5433,Bank/Finance,YES,YES,YES,
"Sundram Fasteners",3894,Bank/Finance,YES,,Explore,
"Sunteck Realty",7639,"Real Estate",YES,YES,YES,
"Suprajit Eng",5628,Auto,Explore,YES,YES,
"Supreme Industries",3929,Chemicals,Explore,Explore,Explore,
"Sutlej Textiles and Industries",17055,Manufacturing,YES,,Explore,
"Suven Life Sciences",3963,Pharma,YES,,Explore,
"Suzlon Energy",16048,Utilities,,,,
"Swaraj Engines",3972,Engineering,Explore,YES,YES,
Symphony,3989,"Consumer Goods",YES,,Explore,
"Syngene International",23050,Pharma,YES,YES,YES,
"TTK Prestige",4007,"Consumer Goods",,,,
"TVS Motor Co.",6421,Auto,Explore,YES,YES,
"TVS Srichakra",4010,Auto,YES,,Explore,
"Take Solutions",17604,IT,YES,YES,YES,
"Tata Chemicals",4033,Chemicals,YES,,Explore,
"Tata Coffee",6533,"Consumer Goods",,,,
"Tata Communications",4348,General,,,,
"Tata Consultancy Services",15850,IT,YES,YES,YES,YES
"Tata Elxsi",4036,IT,Explore,YES,YES,
"Tata Global Beverages",4050,General,,,,
"Tata Investment Corp.",4042,Bank/Finance,YES,,Explore,
"Tata Motors",4037,Auto,,,,
"Tata Power",4047,Utilities,,,,
"Tata Sponge Iron",4049,Mines/Mineral,,,,YES
"Tata Steel",4043,Mines/Mineral,,,,YES
"TeamLease Services",23240,Services,,YES,Explore,
"Tech Mahindra",16800,IT,,YES,Explore,
"Techno Electric and Engg",4060,Engineering,YES,YES,YES,
"The Ramco Cements",2285,Cement,YES,,Explore,
Thermax,4090,Engineering,,,,
"Thomas Cook (India)",4094,Services,Explore,YES,YES,
"Thyrocare Technologies",23353,Services,YES,YES,YES,
"Tide Water Oil Co. (India)",5492,General,YES,,Explore,
"Timken India",4052,Engineering,Explore,,,
"Titan Company",4114,General,Explore,,,
"Torrent Pharmaceuticals",4126,Pharma,YES,YES,YES,
"Torrent Power",17005,Utilities,,,,
Trent,2176,General,Explore,,,
Trident,46,Manufacturing,YES,,Explore,
UFLEX,1172,Chemicals,YES,,Explore,
UPL,5331,Chemicals,YES,YES,YES,YES
"Ujjivan Financial Services",22699,Bank/Finance,YES,,Explore,YES
"Ultratech Cement",15812,Cement,Explore,,,YES
"Unichem Laboratories",4206,Pharma,,YES,Explore,
"V-Guard Industries",18410,General,,YES,Explore,YES
"VA Tech Wabag",21004,Engineering,,YES,Explore,
"VIP Industries",4270,General,Explore,,,
"VRL Logistics",22886,Services,,,,
"VST Industries",4274,"Consumer Goods",,,,
"VST Tillers Tractors",4275,Engineering,,,,
Vakrangee,4286,IT,Explore,YES,YES,
"Vardhman Textiles",2316,Manufacturing,YES,,Explore,
"Varun Beverages",23577,"Consumer Goods",,,,
Vedanta,3520,Mines/Mineral,,Explore,,YES
"Veto Switchgears and Cables",21869,Engineering,,YES,Explore,YES
"Vinati Organics",4371,Chemicals,YES,,Explore,YES
"Voltamp Transformers",16857,Engineering,YES,YES,YES,
Voltas,4414,General,Explore,,,
"Wabco India",18640,Engineering,,YES,Explore,
"Websol Energy Systems",4434,Utilities,YES,,Explore,
"Welspun India",4441,Engineering,YES,YES,YES,
Whirlpool,4458,"Consumer Goods",Explore,,,
"Wim Plast",4469,Chemicals,Explore,,,
Wipro,4475,IT,,,,
"Yes Bank",15907,Bank/Finance,YES,YES,YES,YES
"Zee Entertainment Ent.",4505,General,YES,YES,YES,YES
"Zensar Technologies",1196,IT,YES,,Explore,YES
"Zydus Wellness",7997,"Consumer Goods",YES,,Explore,
"eClerx Services",18075,IT,YES,YES,YES,
